"","x"
"791","12 St & 4 Ave"
"792","Washington St & Gansevoort St"
"793","St Nicholas Ave & W 137 St"
"794","St Marks Pl & 1 Ave"
"795","Bushwick Ave & Harman St"
"796","Waterbury St & Stagg St"
"797","Sullivan St & Washington Sq"
"798","Broadway & W 131 St"
"799","Bialystoker Pl & Delancey St"
"800","Bayard St & Leonard St"
"801","Clay Ave & E 173 St"
"802","Dean St & Franklin Ave"
"803","E 161 St & Park Ave"
"804","Clinton St & Union St"
"805","Graham Ave & Herbert St"
"806","Wards Meadow Comfort Station"
"807","Gerard Ave & E 165 St"
"808","E 149 St & Morris Ave"
"809","Henry St & Middagh St"
"810","Amsterdam Ave & W 152 St"
"811","44 Dr & 21 St"
"812","Greenwich Ave & Charles St"
"813","Madison St & Evergreen Ave"
"814","Willoughby St & Ashland Pl"
"815","Pleasant Ave & E 116 St"
"816","Leonard St & Maujer St"
